Código,Nome/Endereço,Bairro,Valor Total Mensal (R$),Preço do Aluguel (R$),Condomínio (R$),IPTU (R$),Quartos,Banheiros,Vagas,Área (m²),Facilidades,Imobiliária,Fonte (site)
48,"Rua Topazio, Vila Mariana, São Paulo",Vila Mariana,4726.0,3854,752.0,120.0,2,2,0,104,"Armários embutidos, portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/892978583/alugar/apartamento-2-quartos-vila-mariana-sao-paulo
49,"Rua Domingos de Morais, Vila Mariana, São Paulo",Vila Mariana,5374.0,3900,1090.0,384.0,3,2,0,115,"Armários embutidos, portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/894614711
50,"Rua Eça de Queiroz, Vila Mariana, São Paulo",Vila Mariana,4727.0,3700,885.0,142.0,3,2,2,95,Duas vagas na garagem,QuintoAndar,https://www.quintoandar.com.br/imovel/893391742
51,"Rua Francisco Dias Velho, Vila Cordeiro, São Paulo",Vila Cordeiro,4490.0,3422,900.0,168.0,2,2,1,75,Uma vaga na garagem,QuintoAndar,https://www.quintoandar.com.br/imovel/894066064
